dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2017-01-11 19:00:00 +0000 UTC,29.73,26.84,30.48,1008,62,1.13,193,71
2017-01-11 20:00:00 +0000 UTC,28.4,22.24,28.91,1008,72,3.68,142,95
2017-01-11 21:00:00 +0000 UTC,26.03,22.14,26.37,1009,85,3.44,124,91
2017-01-11 22:00:00 +0000 UTC,24.21,21.34,24.74,1011,89,3.56,103,100
2017-01-11 23:00:00 +0000 UTC,24.28,21.34,24.81,1012,87,3.11,110,99
2017-01-12 00:00:00 +0000 UTC,24.11,21.74,24.91,1012,87,2.69,94,99
2017-01-12 01:00:00 +0000 UTC,24.29,21.84,25.07,1012,86,2.65,97,100
2017-01-12 02:00:00 +0000 UTC,23.83,21.84,24.56,1013,87,2.94,114,99
2017-01-12 03:00:00 +0000 UTC,23.25,21.84,23.97,1013,92,2.71,120,100
2017-01-12 04:00:00 +0000 UTC,22.75,21.74,23.44,1013,92,2.53,117,100
2017-01-12 05:00:00 +0000 UTC,22.51,21.74,23.1,1012,93,2.59,117,98
2017-01-12 06:00:00 +0000 UTC,22.32,21.64,22.93,1012,94,2.36,121,98
2017-01-12 07:00:00 +0000 UTC,22.21,21.34,22.79,1012,94,2.29,131,99
2017-01-12 08:00:00 +0000 UTC,21.9,21.34,22.43,1013,95,2.69,134,99
2017-01-12 09:00:00 +0000 UTC,22.02,21.14,22.53,1013,96,2.8,132,99
2017-01-12 10:00:00 +0000 UTC,23.52,21.64,23.99,1014,82,2.9,136,99
2017-01-12 11:00:00 +0000 UTC,23.56,21.34,23.99,1014,84,3.93,138,99
2017-01-12 12:00:00 +0000 UTC,24.5,22.34,24.85,1015,81,4.64,133,98
2017-01-12 13:00:00 +0000 UTC,24.1,23.6,24.34,1015,83,5.24,133,98
2017-01-12 14:00:00 +0000 UTC,24.17,23.59,24.38,1015,83,5.29,135,98
2017-01-12 15:00:00 +0000 UTC,25.01,24.24,25.29,1015,78,5.31,137,97
2017-01-12 16:00:00 +0000 UTC,24.3,23.84,25.84,1014,77,5.24,134,80
2017-01-12 17:00:00 +0000 UTC,24.28,23.84,25.34,1013,78,5.21,131,71
2017-01-12 18:00:00 +0000 UTC,25.31,24.89,25.5,1012,75,4.99,130,88
2017-01-12 19:00:00 +0000 UTC,25.84,25.34,26.03,1012,70,5.42,129,90
2017-01-12 20:00:00 +0000 UTC,25.56,25.34,25.89,1012,69,6.1,124,70
